Id,UnimodId,Name,Description,Composition,AvgMass,MonoMass,Site,Position,Classification,SpecGroup,NeutralLoss,LastModified,Approved,Hidden
Biotin:K,3,Biotin,Biotinylation,H(14) C(10) N(2) O(2) S,226.2954,226.077598,K,Anywhere,Post-translational,1,FALSE,2017-10-09 15:45:09,TRUE,TRUE
Biotin:N-term,3,Biotin,Biotinylation,H(14) C(10) N(2) O(2) S,226.2954,226.077598,N-term,Any N-term,Chemical derivative,2,FALSE,2017-10-09 15:45:09,TRUE,TRUE
Carbamidomethyl:C,4,Carbamidomethyl,Iodoacetamide derivative,H(3) C(2) N O,57.0513,57.021464,C,Anywhere,Chemical derivative,1,FALSE,2017-10-09 10:27:10,TRUE,FALSE
Carbamidomethyl:K,4,Carbamidomethyl,Iodoacetamide derivative,H(3) C(2) N O,57.0513,57.021464,K,Anywhere,Artefact,2,FALSE,2017-10-09 10:27:10,TRUE,TRUE
Carbamidomethyl:N-term,4,Carbamidomethyl,Iodoacetamide derivative,H(3) C(2) N O,57.0513,57.021464,N-term,Any N-term,Artefact,3,FALSE,2017-10-09 10:27:10,TRUE,FALSE
Carbamidomethyl:H,4,Carbamidomethyl,Iodoacetamide derivative,H(3) C(2) N O,57.0513,57.021464,H,Anywhere,Artefact,4,FALSE,2017-10-09 10:27:10,TRUE,TRUE
Carbamidomethyl:D,4,Carbamidomethyl,Iodoacetamide derivative,H(3) C(2) N O,57.0513,57.021464,D,Anywhere,Artefact,5,FALSE,2017-10-09 10:27:10,TRUE,TRUE
Carbamidomethyl:E,4,Carbamidomethyl,Iodoacetamide derivative,H(3) C(2) N O,57.0513,57.021464,E,Anywhere,Artefact,6,FALSE,2017-10-09 10:27:10,TRUE,TRUE
Carbamidomethyl:S,4,Carbamidomethyl,Iodoacetamide derivative,H(3) C(2) N O,57.0513,57.021464,S,Anywhere,Artefact,7,FALSE,2017-10-09 10:27:10,TRUE,TRUE
Carbamidomethyl:T,4,Carbamidomethyl,Iodoacetamide derivative,H(3) C(2) N O,57.0513,57.021464,T,Anywhere,Artefact,8,FALSE,2017-10-09 10:27:10,TRUE,TRUE
Carbamidomethyl:Y,4,Carbamidomethyl,Iodoacetamide derivative,H(3) C(2) N O,57.0513,57.021464,Y,Anywhere,Artefact,9,FALSE,2017-10-09 10:27:10,TRUE,TRUE
Carbamidomethyl:U,4,Carbamidomethyl,Iodoacetamide derivative,H(3) C(2) N O,57.0513,57.021464,U,Anywhere,Chemical derivative,10,FALSE,2017-10-09 10:27:10,TRUE,TRUE
Carbamidomethyl:M,4,Carbamidomethyl,Iodoacetamide derivative,H(3) C(2) N O,57.0513,57.021464,M,Anywhere,Chemical derivative,11,FALSE,2017-10-09 10:27:10,TRUE,TRUE
Carbamidomethyl:M:NL,4,Carbamidomethyl,Iodoacetamide derivative,H(7) C(3) N O S,105.1588,105.024835,M,Anywhere,Chemical derivative,11,TRUE,2017-10-09 10:27:10,TRUE,TRUE
Carbamyl:K,5,Carbamyl,Carbamylation,H C N O,43.0247,43.005814,K,Anywhere,Multiple,1,FALSE,2011-11-21 13:06:47,FALSE,FALSE
Carbamyl:N-term,5,Carbamyl,Carbamylation,H C N O,43.0247,43.005814,N-term,Any N-term,Multiple,2,FALSE,2011-11-21 13:06:47,FALSE,FALSE
Carbamyl:R,5,Carbamyl,Carbamylation,H C N O,43.0247,43.005814,R,Anywhere,Artefact,3,FALSE,2011-11-21 13:06:47,FALSE,TRUE
Carbamyl:C,5,Carbamyl,Carbamylation,H C N O,43.0247,43.005814,C,Anywhere,Artefact,4,FALSE,2011-11-21 13:06:47,FALSE,TRUE
Carbamyl:M,5,Carbamyl,Carbamylation,H C N O,43.0247,43.005814,M,Anywhere,Artefact,5,FALSE,2011-11-21 13:06:47,FALSE,TRUE
Carbamyl:S,5,Carbamyl,Carbamylation,H C N O,43.0247,43.005814,S,Anywhere,Chemical derivative,6,FALSE,2011-11-21 13:06:47,FALSE,TRUE
Carbamyl:T,5,Carbamyl,Carbamylation,H C N O,43.0247,43.005814,T,Anywhere,Chemical derivative,7,FALSE,2011-11-21 13:06:47,FALSE,TRUE
Carbamyl:Y,5,Carbamyl,Carbamylation,H C N O,43.0247,43.005814,Y,Anywhere,Chemical derivative,8,FALSE,2011-11-21 13:06:47,FALSE,TRUE
Carbamyl:P-N-term,5,Carbamyl,Carbamylation,H C N O,43.0247,43.005814,N-term,Protein N-term,Post-translational,9,FALSE,2011-11-21 13:06:47,FALSE,TRUE
Carboxymethyl:C,6,Carboxymethyl,Iodoacetic acid derivative,H(2) C(2) O(2),58.0361,58.005479,C,Anywhere,Chemical derivative,1,FALSE,2016-02-01 14:17:55,TRUE,FALSE
Carboxymethyl:K,6,Carboxymethyl,Iodoacetic acid derivative,H(2) C(2) O(2),58.0361,58.005479,K,Anywhere,Artefact,2,FALSE,2016-02-01 14:17:55,TRUE,TRUE
Carboxymethyl:N-term,6,Carboxymethyl,Iodoacetic acid derivative,H(2) C(2) O(2),58.0361,58.005479,N-term,Any N-term,Artefact,3,FALSE,2016-02-01 14:17:55,TRUE,TRUE
Carboxymethyl:W,6,Carboxymethyl,Iodoacetic acid derivative,H(2) C(2) O(2),58.0361,58.005479,W,Anywhere,Chemical derivative,4,FALSE,2016-02-01 14:17:55,TRUE,TRUE
Carboxymethyl:U,6,Carboxymethyl,Iodoacetic acid derivative,H(2) C(2) O(2),58.0361,58.005479,U,Anywhere,Chemical derivative,5,FALSE,2016-02-01 14:17:55,TRUE,TRUE
Deamidated:Q,7,Deamidated,Deamidation,H(-1) N(-1) O,0.9848,0.984016,Q,Anywhere,Artefact,1,FALSE,2011-05-12 08:53:06,FALSE,FALSE
Deamidated:N,7,Deamidated,Deamidation,H(-1) N(-1) O,0.9848,0.984016,N,Anywhere,Artefact,1,FALSE,2011-05-12 08:53:06,FALSE,FALSE
Deamidated:R,7,Deamidated,Deamidation,H(-1) N(-1) O,0.9848,0.984016,R,Anywhere,Post-translational,2,FALSE,2011-05-12 08:53:06,FALSE,TRUE
Deamidated:P-F,7,Deamidated,Deamidation,H(-1) N(-1) O,0.9848,0.984016,F,Protein N-term,Post-translational,3,FALSE,2011-05-12 08:53:06,FALSE,TRUE
ICAT-G:C,8,ICAT-G,Gygi ICAT(TM) d0,H(38) C(22) N(4) O(6) S,486.6253,486.251206,C,Anywhere,Isotopic label,1,FALSE,2006-10-16 17:00:43,TRUE,TRUE
ICAT-G:2H(8):C,9,ICAT-G:2H(8),Gygi ICAT(TM) d8,H(30) 2H(8) C(22) N(4) O(6) S,494.6746,494.30142,C,Anywhere,Isotopic label,1,FALSE,2006-10-16 17:01:35,TRUE,TRUE
Met->Hse:M,10,Met->Hse,Homoserine,H(-2) C(-1) O S(-1),-30.0922,-29.992806,M,Any C-term,Chemical derivative,1,FALSE,2006-10-13 15:40:08,TRUE,FALSE
Met->Hsl:M,11,Met->Hsl,Homoserine lactone,H(-4) C(-1) S(-1),-48.1075,-48.003371,M,Any C-term,Chemical derivative,1,FALSE,2006-11-14 11:10:15,FALSE,FALSE
ICAT-D:2H(8):C,12,ICAT-D:2H(8),Applied Biosystems original ICAT(TM) d8,H(26) 2H(8) C(20) N(4) O(5) S,450.6221,450.275205,C,Anywhere,Isotopic label,1,FALSE,2006-10-16 16:56:23,TRUE,TRUE
ICAT-D:C,13,ICAT-D,Applied Biosystems original ICAT(TM) d0,H(34) C(20) N(4) O(5) S,442.5728,442.224991,C,Anywhere,Isotopic label,1,FALSE,2006-10-16 16:53:48,TRUE,TRUE
NIPCAM:C,17,NIPCAM,N-isopropylcarboxamidomethyl,H(9) C(5) N O,99.1311,99.068414,C,Anywhere,Chemical derivative,1,FALSE,2006-10-16 12:39:14,TRUE,FALSE
PEO-Iodoacetyl-LC-Biotin:C,20,PEO-Iodoacetyl-LC-Biotin,"Biotinyl-iodoacetamidyl-3,6-dioxaoctanediamine",H(30) C(18) N(4) O(5) S,414.5196,414.193691,C,Anywhere,Chemical derivative,1,FALSE,2006-11-14 11:40:00,FALSE,TRUE
Phospho:T,21,Phospho,Phosphorylation,H O(3) P,79.9799,79.966331,T,Anywhere,Post-translational,1,FALSE,2011-11-25 10:55:54,TRUE,FALSE
Phospho:S,21,Phospho,Phosphorylation,H O(3) P,79.9799,79.966331,S,Anywhere,Post-translational,1,FALSE,2011-11-25 10:55:54,TRUE,FALSE
Phospho:Y,21,Phospho,Phosphorylation,H O(3) P,79.9799,79.966331,Y,Anywhere,Post-translational,2,FALSE,2011-11-25 10:55:54,TRUE,FALSE
Phospho:D,21,Phospho,Phosphorylation,H O(3) P,79.9799,79.966331,D,Anywhere,Post-translational,3,FALSE,2011-11-25 10:55:54,TRUE,TRUE
Phospho:H,21,Phospho,Phosphorylation,H O(3) P,79.9799,79.966331,H,Anywhere,Post-translational,4,FALSE,2011-11-25 10:55:54,TRUE,TRUE
Phospho:C,21,Phospho,Phosphorylation,H O(3) P,79.9799,79.966331,C,Anywhere,Post-translational,5,FALSE,2011-11-25 10:55:54,TRUE,TRUE
Phospho:R,21,Phospho,Phosphorylation,H O(3) P,79.9799,79.966331,R,Anywhere,Post-translational,6,FALSE,2011-11-25 10:55:54,TRUE,TRUE
Phospho:K,21,Phospho,Phosphorylation,H O(3) P,79.9799,79.966331,K,Anywhere,Other,7,FALSE,2011-11-25 10:55:54,TRUE,TRUE
Phospho:T:NL,21,Phospho,Phosphorylation,H(3) O(4) P,97.9952,97.976896,T,Anywhere,Post-translational,1,TRUE,2011-11-25 10:55:54,TRUE,FALSE
Phospho:S:NL,21,Phospho,Phosphorylation,H(3) O(4) P,97.9952,97.976896,S,Anywhere,Post-translational,1,TRUE,2011-11-25 10:55:54,TRUE,FALSE
Dehydrated:P-N,23,Dehydrated,Dehydration,H(-2) O(-1),-18.0153,-18.010565,N,Protein C-term,Post-translational,1,FALSE,2006-11-14 11:05:47,FALSE,TRUE
Dehydrated:P-Q,23,Dehydrated,Dehydration,H(-2) O(-1),-18.0153,-18.010565,Q,Protein C-term,Post-translational,2,FALSE,2006-11-14 11:05:47,FALSE,TRUE
Dehydrated:S,23,Dehydrated,Dehydration,H(-2) O(-1),-18.0153,-18.010565,S,Anywhere,Post-translational,3,FALSE,2006-11-14 11:05:47,FALSE,TRUE
Dehydrated:T,23,Dehydrated,Dehydration,H(-2) O(-1),-18.0153,-18.010565,T,Anywhere,Post-translational,4,FALSE,2006-11-14 11:05:47,FALSE,TRUE
Dehydrated:Y,23,Dehydrated,Dehydration,H(-2) O(-1),-18.0153,-18.010565,Y,Anywhere,Post-translational,5,FALSE,2006-11-14 11:05:47,FALSE,TRUE
Dehydrated:D,23,Dehydrated,Dehydration,H(-2) O(-1),-18.0153,-18.010565,D,Anywhere,Chemical derivative,6,FALSE,2006-11-14 11:05:47,FALSE,TRUE
Dehydrated:C,23,Dehydrated,Dehydration,H(-2) O(-1),-18.0153,-18.010565,C,Any N-term,Artefact,7,FALSE,2006-11-14 11:05:47,FALSE,FALSE
Propionamide:C,24,Propionamide,Acrylamide adduct,H(5) C(3) N O,71.0779,71.037114,C,Anywhere,Artefact,1,FALSE,2010-12-21 16:57:03,TRUE,FALSE
Propionamide:K,24,Propionamide,Acrylamide adduct,H(5) C(3) N O,71.0779,71.037114,K,Anywhere,Chemical derivative,2,FALSE,2010-12-21 16:57:03,TRUE,TRUE
Propionamide:N-term,24,Propionamide,Acrylamide adduct,H(5) C(3) N O,71.0779,71.037114,N-term,Any N-term,Chemical derivative,3,FALSE,2010-12-21 16:57:03,TRUE,TRUE
Pyridylacetyl:K,25,Pyridylacetyl,pyridylacetyl,H(5) C(7) N O,119.1207,119.037114,K,Anywhere,Chemical derivative,1,FALSE,2006-10-16 12:47:43,TRUE,TRUE
Pyridylacetyl:N-term,25,Pyridylacetyl,pyridylacetyl,H(5) C(7) N O,119.1207,119.037114,N-term,Any N-term,Chemical derivative,2,FALSE,2006-10-16 12:47:43,TRUE,TRUE
Pyro-carbamidomethyl:C,26,Pyro-carbamidomethyl,S-carbamoylmethylcysteine cyclization (N-terminus),C(2) O,40.0208,39.994915,C,Any N-term,Artefact,1,FALSE,2006-11-14 11:05:25,FALSE,FALSE
Glu->pyro-Glu:E,27,Glu->pyro-Glu,Pyro-glu from E,H(-2) O(-1),-18.0153,-18.010565,E,Any N-term,Artefact,1,FALSE,2008-06-05 13:54:56,TRUE,FALSE
Gln->pyro-Glu:Q,28,Gln->pyro-Glu,Pyro-glu from Q,H(-3) N(-1),-17.0305,-17.026549,Q,Any N-term,Artefact,1,FALSE,2006-10-13 17:06:57,TRUE,FALSE
SMA:K,29,SMA,N-Succinimidyl-2-morpholine acetate,H(9) C(6) N O(2),127.1412,127.063329,K,Anywhere,Chemical derivative,1,FALSE,2010-11-03 17:44:14,TRUE,TRUE
SMA:N-term,29,SMA,N-Succinimidyl-2-morpholine acetate,H(9) C(6) N O(2),127.1412,127.063329,N-term,Any N-term,Chemical derivative,2,FALSE,2010-11-03 17:44:14,TRUE,TRUE
Cation:Na:C-term,30,Cation:Na,Sodium adduct,H(-1) Na,21.9818,21.981943,C-term,Any C-term,Artefact,1,FALSE,2006-10-14 19:43:17,TRUE,FALSE
Cation:Na:D,30,Cation:Na,Sodium adduct,H(-1) Na,21.9818,21.981943,D,Anywhere,Artefact,2,FALSE,2006-10-14 19:43:17,TRUE,FALSE
Cation:Na:E,30,Cation:Na,Sodium adduct,H(-1) Na,21.9818,21.981943,E,Anywhere,Artefact,2,FALSE,2006-10-14 19:43:17,TRUE,FALSE
Pyridylethyl:C,31,Pyridylethyl,S-pyridylethylation,H(7) C(7) N,105.13720000000001,105.057849,C,Anywhere,Chemical derivative,1,FALSE,2006-10-16 12:43:38,TRUE,FALSE
Methyl:C,34,Methyl,Methylation,H(2) C,14.0266,14.01565,C,Anywhere,Post-translational,1,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Methyl:H,34,Methyl,Methylation,H(2) C,14.0266,14.01565,H,Anywhere,Post-translational,2,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Methyl:K,34,Methyl,Methylation,H(2) C,14.0266,14.01565,K,Anywhere,Post-translational,3,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Methyl:N,34,Methyl,Methylation,H(2) C,14.0266,14.01565,N,Anywhere,Post-translational,4,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Methyl:N-term,34,Methyl,Methylation,H(2) C,14.0266,14.01565,N-term,Any N-term,Chemical derivative,5,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Methyl:Q,34,Methyl,Methylation,H(2) C,14.0266,14.01565,Q,Anywhere,Post-translational,6,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Methyl:R,34,Methyl,Methylation,H(2) C,14.0266,14.01565,R,Anywhere,Post-translational,7,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Methyl:I,34,Methyl,Methylation,H(2) C,14.0266,14.01565,I,Anywhere,Post-translational,8,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Methyl:L,34,Methyl,Methylation,H(2) C,14.0266,14.01565,L,Anywhere,Post-translational,9,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Methyl:P-N-term,34,Methyl,Methylation,H(2) C,14.0266,14.01565,N-term,Protein N-term,Post-translational,10,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Methyl:C-term,34,Methyl,Methylation,H(2) C,14.0266,14.01565,C-term,Any C-term,Multiple,11,FALSE,2015-08-26 14:39:25,TRUE,FALSE
Methyl:E,34,Methyl,Methylation,H(2) C,14.0266,14.01565,E,Anywhere,Post-translational,12,FALSE,2015-08-26 14:39:25,TRUE,FALSE
Methyl:D,34,Methyl,Methylation,H(2) C,14.0266,14.01565,D,Anywhere,Post-translational,12,FALSE,2015-08-26 14:39:25,TRUE,FALSE
Methyl:S,34,Methyl,Methylation,H(2) C,14.0266,14.01565,S,Anywhere,Post-translational,13,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Methyl:T,34,Methyl,Methylation,H(2) C,14.0266,14.01565,T,Anywhere,Post-translational,14,FALSE,2015-08-26 14:39:25,TRUE,TRUE
Oxidation:D,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,D,Anywhere,Post-translational,1,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:K,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,K,Anywhere,Post-translational,2,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:N,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,N,Anywhere,Post-translational,3,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:P,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,P,Anywhere,Post-translational,4,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:F,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,F,Anywhere,Artefact,5,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:Y,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,Y,Anywhere,Post-translational,6,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:R,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,R,Anywhere,Post-translational,7,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:M,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,M,Anywhere,Artefact,8,FALSE,2017-10-06 17:05:11,FALSE,FALSE
Oxidation:C,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,C,Anywhere,Post-translational,9,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:W,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,W,Anywhere,Artefact,10,FALSE,2017-10-06 17:05:11,FALSE,FALSE
Oxidation:H,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,H,Anywhere,Artefact,10,FALSE,2017-10-06 17:05:11,FALSE,FALSE
Oxidation:G,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,G,Any C-term,Pre-translational,11,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:U,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,U,Anywhere,Multiple,12,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:E,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,E,Anywhere,Chemical derivative,13,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:I,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,I,Anywhere,Chemical derivative,14,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:L,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,L,Anywhere,Chemical derivative,15,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:Q,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,Q,Anywhere,Chemical derivative,16,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:S,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,S,Anywhere,Chemical derivative,17,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:T,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,T,Anywhere,Chemical derivative,18,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:V,35,Oxidation,Oxidation or Hydroxylation,O,15.9994,15.994915,V,Anywhere,Chemical derivative,19,FALSE,2017-10-06 17:05:11,FALSE,TRUE
Oxidation:M:NL,35,Oxidation,Oxidation or Hydroxylation,H(4) C O S,64.1069,63.998285,M,Anywhere,Artefact,8,TRUE,2017-10-06 17:05:11,FALSE,FALSE
Dimethyl:K,36,Dimethyl,di-Methylation,H(4) C(2),28.0532,28.0313,K,Anywhere,Multiple,1,FALSE,2014-11-16 07:37:54,TRUE,TRUE
Dimethyl:R,36,Dimethyl,di-Methylation,H(4) C(2),28.0532,28.0313,R,Anywhere,Post-translational,2,FALSE,2014-11-16 07:37:54,TRUE,TRUE
Dimethyl:N-term,36,Dimethyl,di-Methylation,H(4) C(2),28.0532,28.0313,N-term,Any N-term,Isotopic label,3,FALSE,2014-11-16 07:37:54,TRUE,TRUE
Dimethyl:N,36,Dimethyl,di-Methylation,H(4) C(2),28.0532,28.0313,N,Anywhere,Post-translational,4,FALSE,2014-11-16 07:37:54,TRUE,TRUE
Dimethyl:P-P,36,Dimethyl,di-Methylation,H(4) C(2),28.0532,28.0313,P,Protein N-term,Post-translational,5,FALSE,2014-11-16 07:37:54,TRUE,TRUE
Dimethyl:P-N-term,36,Dimethyl,di-Methylation,H(4) C(2),28.0532,28.0313,N-term,Protein N-term,Isotopic label,6,FALSE,2014-11-16 07:37:54,TRUE,TRUE
Trimethyl:K,37,Trimethyl,tri-Methylation,H(6) C(3),42.0797,42.04695,K,Anywhere,Post-translational,1,FALSE,2015-05-22 13:05:59,TRUE,TRUE
Trimethyl:R,37,Trimethyl,tri-Methylation,H(6) C(3),42.0797,42.04695,R,Anywhere,Chemical derivative,2,FALSE,2015-05-22 13:05:59,TRUE,TRUE
Trimethyl:P-A,37,Trimethyl,tri-Methylation,H(6) C(3),42.0797,42.04695,A,Protein N-term,Post-translational,3,FALSE,2015-05-22 13:05:59,TRUE,TRUE
Trimethyl:K:NL,37,Trimethyl,tri-Methylation,H(9) C(3) N,59.1103,59.073499,K,Anywhere,Post-translational,1,TRUE,2015-05-22 13:05:59,TRUE,TRUE
Methylthio:D,39,Methylthio,Beta-methylthiolation,H(2) C S,46.0916,45.987721,D,Anywhere,Post-translational,1,FALSE,2011-11-24 16:48:21,FALSE,TRUE
Methylthio:N,39,Methylthio,Beta-methylthiolation,H(2) C S,46.0916,45.987721,N,Anywhere,Post-translational,2,FALSE,2011-11-24 16:48:21,FALSE,TRUE
Methylthio:C,39,Methylthio,Beta-methylthiolation,H(2) C S,46.0916,45.987721,C,Anywhere,Multiple,3,FALSE,2011-11-24 16:48:21,FALSE,FALSE
Methylthio:N-term,39,Methylthio,Beta-methylthiolation,H(2) C S,46.0916,45.987721,N-term,Any N-term,Artefact,4,FALSE,2011-11-24 16:48:21,FALSE,TRUE
Methylthio:K,39,Methylthio,Beta-methylthiolation,H(2) C S,46.0916,45.987721,K,Anywhere,Artefact,5,FALSE,2011-11-24 16:48:21,FALSE,TRUE
Sulfo:S,40,Sulfo,O-Sulfonation,O(3) S,80.0632,79.956815,S,Anywhere,Post-translational,1,FALSE,2012-02-14 17:50:32,TRUE,FALSE
Sulfo:T,40,Sulfo,O-Sulfonation,O(3) S,80.0632,79.956815,T,Anywhere,Post-translational,1,FALSE,2012-02-14 17:50:32,TRUE,FALSE
Sulfo:Y,40,Sulfo,O-Sulfonation,O(3) S,80.0632,79.956815,Y,Anywhere,Post-translational,1,FALSE,2012-02-14 17:50:32,TRUE,FALSE
Sulfo:C,40,Sulfo,O-Sulfonation,O(3) S,80.0632,79.956815,C,Anywhere,Post-translational,2,FALSE,2012-02-14 17:50:32,TRUE,TRUE
Sulfo:S:NL,40,Sulfo,O-Sulfonation,O(3) S,80.0632,79.956815,S,Anywhere,Post-translational,1,TRUE,2012-02-14 17:50:32,TRUE,FALSE
Sulfo:T:NL,40,Sulfo,O-Sulfonation,O(3) S,80.0632,79.956815,T,Anywhere,Post-translational,1,TRUE,2012-02-14 17:50:32,TRUE,FALSE
Sulfo:Y:NL,40,Sulfo,O-Sulfonation,O(3) S,80.0632,79.956815,Y,Anywhere,Post-translational,1,TRUE,2012-02-14 17:50:32,TRUE,FALSE
Hex:K,41,Hex,Hexose,Hex,162.1406,162.052824,K,Anywhere,Other glycosylation,1,FALSE,2015-05-01 15:05:20,TRUE,TRUE
Hex:N,41,Hex,Hexose,Hex,162.1406,162.052824,N,Anywhere,N-linked glycosylation,2,FALSE,2015-05-01 15:05:20,TRUE,TRUE
Hex:N-term,41,Hex,Hexose,Hex,162.1406,162.052824,N-term,Any N-term,Other glycosylation,3,FALSE,2015-05-01 15:05:20,TRUE,TRUE
Hex:T,41,Hex,Hexose,Hex,162.1406,162.052824,T,Anywhere,O-linked glycosylation,4,FALSE,2015-05-01 15:05:20,TRUE,TRUE
Hex:S,41,Hex,Hexose,Hex,162.1406,162.052824,S,Anywhere,O-linked glycosylation,4,FALSE,2015-05-01 15:05:20,TRUE,TRUE
Hex:W,41,Hex,Hexose,Hex,162.1406,162.052824,W,Anywhere,Other glycosylation,5,FALSE,2015-05-01 15:05:20,TRUE,TRUE
Hex:C,41,Hex,Hexose,Hex,162.1406,162.052824,C,Anywhere,Other glycosylation,6,FALSE,2015-05-01 15:05:20,TRUE,TRUE
Hex:R,41,Hex,Hexose,Hex,162.1406,162.052824,R,Anywhere,N-linked glycosylation,7,FALSE,2015-05-01 15:05:20,TRUE,TRUE
Hex:Y,41,Hex,Hexose,Hex,162.1406,162.052824,Y,Anywhere,O-linked glycosylation,8,FALSE,2015-05-01 15:05:20,TRUE,TRUE
Hex:T:NL,41,Hex,Hexose,Hex,162.1406,162.052824,T,Anywhere,O-linked glycosylation,4,TRUE,2015-05-01 15:05:20,TRUE,TRUE
Hex:S:NL,41,Hex,Hexose,Hex,162.1406,162.052824,S,Anywhere,O-linked glycosylation,4,TRUE,2015-05-01 15:05:20,TRUE,TRUE
Hex:N:NL,41,Hex,Hexose,Hex,162.1406,162.052824,N,Anywhere,N-linked glycosylation,2,TRUE,2015-05-01 15:05:20,TRUE,TRUE
Lipoyl:K,42,Lipoyl,Lipoyl,H(12) C(8) O S(2),188.3103,188.032956,K,Anywhere,Post-translational,1,FALSE,2006-10-16 15:06:53,TRUE,TRUE
